country,site_number,site_code,site_type,data_collection_date,Day,Month,Year,pre_post_campaign,sampling_loc,sampling_loc_name,transect_id,inside_or_outside_NTZ,Latitud_decimal_degree,Longitud_decimal_degree,Reef_zone,Water_depth_m,percent_live_coral_cover,percent_soft_coral_cover,percent_algae_cover,percent_other_biota_cover,percent_available_substrate_cover,percent_mobile_substrate_cover,percent_BLK,information_source
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER2B0216,inside,14.0349,123.09312,,,67,1,1,1,0,30,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER2B0415,inside,14.0349,123.09312,,,56,1,1,2,0,40,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER3A0216,inside,14.03367,123.09422,,,70,1,9,1,0,17,3,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER3A0415,inside,14.03367,123.09422,,,61,2,10,2,0,26,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER3B0216,inside,14.03367,123.09422,,,87,0,0,0,0,12,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER3B0415,inside,14.03367,123.09422,,,53,2,10,2,0,34,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER4A0216,outside,14.03319,123.09594,,,84,4,6,0,0,6,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER4A0415,outside,14.03319,123.09594,,,73,0,16,3,0,8,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER4B0216,outside,14.03319,123.09594,,,84,4,0,1,0,11,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER4B0415,outside,14.03319,123.09594,,,59,0,18,2,0,21,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER5A0216,outside,14.03237,123.10469,,,60,0,9,2,0,29,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER5A0415,outside,14.03237,123.10469,,,56,0,13,1,0,31,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER6A0216,outside,14.03097,123.10873,,,61,0,15,1,0,21,2,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER6A0415,outside,14.03097,123.10873,,,66,0,30,2,0,3,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER6B0216,outside,14.03097,123.10873,,,36,1,1,4,0,57,2,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER6B0415,outside,14.03097,123.10873,,,56,1,1,1,0,42,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/16,1,1,2016,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG1A0316,outside,13.58288,123.57596,,,35,0,41,22,0,2,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/16,1,1,2016,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG1B0216,outside,13.58288,123.57596,,,34,0,56,6,0,4,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/14,1,1,2014,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG1F0414,outside,13.58288,123.57596,,,39,0,38,12,0,9,2,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/15,1,1,2015,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG1F0415,outside,13.58288,123.57596,,,34,1,44,16,0,5,1,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/12,1,1,2012,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG1F0812,outside,13.58288,123.57596,,,42,0,36,11,2,9,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/14,1,1,2014,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG1R0414,outside,13.58288,123.57596,,,45,0,47,0,0,8,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/15,1,1,2015,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG1R0415,outside,13.58288,123.57596,,,42,0,52,0,0,4,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/12,1,1,2012,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG1R0812,outside,13.58288,123.57596,,,50,1,41,1,0,7,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/16,1,1,2016,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG2A0316,inside,13.59284,123.57107,,,35,0,63,1,0,0,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/14,1,1,2014,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG2R0414,inside,13.59284,123.57107,,,40,1,51,3,0,6,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/15,1,1,2015,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG2R0415,inside,13.59284,123.57107,,,36,2,59,1,0,2,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/16,1,1,2016,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG3A0216,inside,13.59243,123.56726,,,33,5,59,2,0,1,1,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/16,1,1,2016,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG3B0316,inside,13.59243,123.56726,,,61,3,30,3,0,3,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/14,1,1,2014,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG3F0414,inside,13.59243,123.56726,,,29,4,62,1,0,1,2,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/15,1,1,2015,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG3F0415,inside,13.59243,123.56726,,,27,5,65,1,0,1,2,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/12,1,1,2012,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG3F0812,inside,13.59243,123.56726,,,30,4,47,3,1,15,0,
Philippines,Phi_38,SAGNAY_,Alumni,1/1/14,1,1,2014,pre,,Atulayan Bay Fish Sanctuary and Marine Reserve,CSAG3R0414,inside,13.59243,123.56726,,,27,6,64,2,1,1,0,
